0,0,0,0,0,973.105383,0,0,0,0,923.433613,0,0,0,0,932.279363,0,0,0,0,922.984308,0,0,0,0,0
0,0,0,0,0,946.411234,0,0,0,0,847.069464,0,0,0,0,864.754147,0,0,0,0,846.173680,0,0,0,0,0
0,0,0,0,0,920.148020,0,0,0,0,771.144880,0,0,0,0,797.654301,0,0,0,0,769.803385,0,0,0,0,0
0,0,0,0,0,894.532517,0,0,0,0,695.884796,0,0,0,0,731.197413,0,0,0,0,694.097783,0,0,0,0,0
261.434792,287.907581,316.256373,346.496417,378.629138,869.772793,448.504681,486.175150,525.593054,566.683035,609.350830,615.918839,623.976024,633.528253,644.562982,657.048724,644.159962,632.720290,622.759299,614.287685,607.294212,564.730542,523.732181,484.397300,446.801656,411.005425
0,0,0,0,0,846.065535,0,0,0,0,575.643166,0,0,0,0,620.324191,0,0,0,0,572.569832,0,0,0,0,0
0,0,0,0,0,823.593547,0,0,0,0,531.007216,0,0,0,0,576.261047,0,0,0,0,527.093516,0,0,0,0,0
0,0,0,0,0,802.523462,0,0,0,0,487.724138,0,0,0,0,533.544278,0,0,0,0,482.971757,0,0,0,0,0
163.038122,181.602182,201.916029,224.061920,248.114779,783.003703,302.194956,332.321299,364.549646,398.895144,435.362424,440.505815,447.796862,457.254973,468.885441,482.676311,467.879044,455.237892,444.760589,436.437756,430.233527,394.089280,360.034019,328.075849,298.200046,270.377238
0,0,0,0,0,765.162747,0,0,0,0,429.415254,0,0,0,0,474.336945,0,0,0,0,421.975582,0,0,0,0,0
0,0,0,0,0,749.107735,0,0,0,0,414.538319,0,0,0,0,458.022328,0,0,0,0,405.263601,0,0,0,0,0
0,0,0,0,0,734.923434,0,0,0,0,401.306409,0,0,0,0,443.403960,0,0,0,0,390.230487,0,0,0,0,0
133.081741,148.978615,166.563291,185.941812,207.215804,722.671564,255.823591,283.321737,313.040119,345.029735,379.360610,382.829983,388.712927,397.009060,407.731759,420.888469,405.421811,392.381158,381.751219,373.511082,367.611374,334.104460,302.857166,273.840817,247.003714,222.280704
0,0,0,0,0,712.390414,0,0,0,0,403.174320,0,0,0,0,441.082346,0,0,0,0,386.294536,0,0,0,0,0
0,0,0,0,0,704.094695,0,0,0,0,418.298693,0,0,0,0,453.402218,0,0,0,0,397.408701,0,0,0,0,0
0,0,0,0,0,697.775576,0,0,0,0,435.116915,0,0,0,0,467.464379,0,0,0,0,410.235663,0,0,0,0,0
163.832574,182.600850,203.175594,225.646971,250.097895,693.400944,305.223300,336.011568,369.003493,404.219612,441.664524,443.596197,447.787148,454.261250,463.022460,474.051791,457.783900,443.771281,432.020413,422.515508,415.209487,379.605218,346.151327,314.848650,285.671211,258.578596
0,0,0,0,0,690.915965,0,0,0,0,500.732264,0,0,0,0,521.421842,0,0,0,0,462.390696,0,0,0,0,0
0,0,0,0,0,690.243990,0,0,0,0,549.425640,0,0,0,0,561.184301,0,0,0,0,501.590918,0,0,0,0,0
0,0,0,0,0,691.287810,0,0,0,0,599.610268,0,0,0,0,602.424954,0,0,0,0,542.248572,0,0,0,0,0
445.356886,486.605208,530.181669,576.025944,624.053325,674.141089,665.481674,658.743575,653.911147,650.932132,649.721747,644.196096,640.367753,638.251908,637.834645,639.072833,622.656915,607.881736,594.776483,583.342632,573.551471,531.996386,492.140119,454.067975,417.835968,383.484447
0,0,0,0,0,742.646721,0,0,0,0,707.341870,0,0,0,0,702.278853,0,0,0,0,651.636669,0,0,0,0,0
0,0,0,0,0,792.605276,0,0,0,0,764.575401,0,0,0,0,760.570189,0,0,0,0,720.056105,0,0,0,0,0
0,0,0,0,0,843.570851,0,0,0,0,822.675853,0,0,0,0,819.698605,0,0,0,0,789.312869,0,0,0,0,0
0,0,0,0,0,895.296938,0,0,0,0,881.428945,0,0,0,0,879.456862,0,0,0,0,859.199161,0,0,0,0,0
0,0,0,0,0,947.529059,0,0,0,0,940.614454,0,0,0,0,939.632182,0,0,0,0,929.502477,0,0,0,0,0
